Area Code,Area Code (M49),M49 Code,Area,Item Code (FBS),Item Code,Item,Year,target_year,result_type,food_supply_kcal_cap_day,eligible_for_2024_scoring,scoring_exclusion_reason,predicted_shortage_probability,risk_band,predicted_shortage_warning,evidence_review_level,eligible_for_headline_ranking,headline_ranking_exclusion_reason,missing_locked_feature_count,numeric_features_outside_training_range_count,non_year_features_outside_training_range_count,unknown_model_category_count,pair_has_historical_training_support,pair_historical_rows,pair_historical_shortages,pair_historical_shortage_rate,pair_predictor_year_start,pair_predictor_year_end,production_status,recorded_element_count,source_absent_element_count,source_present_missing_element_count,recorded_zero_element_count,recorded_negative_element_count,supply_outcome_recorded_count,supply_outcomes_complete,negative_domestic_supply_flag
226,'800,800,Uganda,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,23.54,True,Eligible for prospective scoring,0.18523542568542575,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,9,1,0,0,True,13.0,4.0,0.3076923076923077,2010.0,2022.0,Recorded positive production,17,3,0,2,0,5,True,False
114,'404,404,Kenya,'S2807,2807,Rice and products,2023,2024,Model-generated 2024 early-warning estimate,184.04,True,Eligible for prospective scoring,0.18430692640692642,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,2,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,19,0,1,3,0,5,True,False
226,'800,800,Uganda,'S2514,2514,Maize and products,2023,2024,Model-generated 2024 early-warning estimate,649.54,True,Eligible for prospective scoring,0.18218196248196245,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,3,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,19,1,0,3,0,5,True,False
75,'270,270,Gambia,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,46.21,True,Eligible for prospective scoring,0.1820274891774892,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,11,1,0,0,True,13.0,5.0,0.38461538461538464,2010.0,2022.0,Recorded positive production,17,3,0,4,0,5,True,False
4,'012,012,Algeria,'S2807,2807,Rice and products,2023,2024,Model-generated 2024 early-warning estimate,44.5,True,Eligible for prospective scoring,0.171652380952381,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,8,1,0,0,True,13.0,0.0,0.0,2010.0,2022.0,Recorded zero production,17,2,1,6,0,5,True,False
122,'426,426,Lesotho,'S2511,2511,Wheat and products,2023,2024,Model-generated 2024 early-warning estimate,217.18,True,Eligible for prospective scoring,0.17054365079365083,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,4,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,17,3,0,2,0,5,True,False
130,'454,454,Malawi,'S2518,2518,Sorghum and products,2023,2024,Model-generated 2024 early-warning estimate,22.52,True,Eligible for prospective scoring,0.16975476190476177,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,5,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,18,2,0,5,0,5,True,False
197,'694,694,Sierra Leone,'S2518,2518,Sorghum and products,2023,2024,Model-generated 2024 early-warning estimate,33.8,True,Eligible for prospective scoring,0.16944170274170278,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,6,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,17,3,0,4,0,5,True,False
196,'690,690,Seychelles,'S2807,2807,Rice and products,2023,2024,Model-generated 2024 early-warning estimate,285.64,True,Eligible for prospective scoring,0.16861063381063385,Warning: 13% to below 30%,1,Heightened evidence review,True,Eligible for headline ranking inputs,27,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,No production source row,16,4,0,5,0,5,True,False
59,'818,818,Egypt,'S2518,2518,Sorghum and products,2023,2024,Model-generated 2024 early-warning estimate,25.94,True,Eligible for prospective scoring,0.1685497113997114,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,3,1,0,0,True,13.0,3.0,0.23076923076923078,2010.0,2022.0,Recorded positive production,18,2,0,2,0,5,True,False
